Iteration,Erreur
0,1.978220e-04
1,1.976436e-04
2,1.974654e-04
3,1.972874e-04
4,1.971095e-04
5,1.969317e-04
6,1.967541e-04
7,1.965767e-04
8,1.963994e-04
9,1.962223e-04
10,1.960453e-04
11,1.958685e-04
12,1.956919e-04
13,1.955154e-04
14,1.953390e-04
15,1.951628e-04
16,1.949868e-04
17,1.948109e-04
18,1.946352e-04
19,1.944596e-04
20,1.942842e-04
21,1.941090e-04
22,1.939338e-04
23,1.937589e-04
24,1.935841e-04
25,1.934094e-04
26,1.932349e-04
27,1.930606e-04
28,1.928864e-04
29,1.927123e-04
30,1.925384e-04
31,1.923647e-04
32,1.921911e-04
33,1.920176e-04
34,1.918444e-04
35,1.916712e-04
36,1.914982e-04
37,1.913254e-04
38,1.911527e-04
39,1.909801e-04
40,1.908077e-04
41,1.906354e-04
42,1.904633e-04
43,1.902914e-04
44,1.901195e-04
45,1.899479e-04
46,1.897763e-04
47,1.896050e-04
48,1.894337e-04
49,1.892626e-04
50,1.890917e-04
51,1.889209e-04
52,1.887502e-04
53,1.885797e-04
54,1.884093e-04
55,1.882391e-04
56,1.880690e-04
57,1.878991e-04
58,1.877293e-04
59,1.875596e-04
60,1.873901e-04
61,1.872207e-04
62,1.870515e-04
63,1.868824e-04
64,1.867134e-04
65,1.865446e-04
66,1.863759e-04
67,1.862073e-04
68,1.860389e-04
69,1.858707e-04
70,1.857026e-04
71,1.855346e-04
72,1.853667e-04
73,1.851990e-04
74,1.850314e-04
75,1.848640e-04
76,1.846967e-04
77,1.845295e-04
78,1.843625e-04
79,1.841956e-04
80,1.840288e-04
81,1.838622e-04
82,1.836957e-04
83,1.835293e-04
84,1.833631e-04
85,1.831970e-04
86,1.830311e-04
87,1.828652e-04
88,1.826996e-04
89,1.825340e-04
90,1.823686e-04
91,1.822033e-04
92,1.820381e-04
93,1.818731e-04
94,1.817082e-04
95,1.815434e-04
96,1.813788e-04
97,1.812143e-04
98,1.810499e-04
99,1.808857e-04
100,1.807215e-04
101,1.805576e-04
102,1.803937e-04
103,1.802300e-04
104,1.800664e-04
105,1.799029e-04
106,1.797396e-04
107,1.795764e-04
108,1.794133e-04
109,1.792503e-04
110,1.790875e-04
111,1.789248e-04
112,1.787622e-04
113,1.785998e-04
114,1.784374e-04
115,1.782752e-04
116,1.781132e-04
117,1.779512e-04
118,1.777894e-04
119,1.776277e-04
120,1.774661e-04
121,1.773047e-04
122,1.771434e-04
123,1.769822e-04
124,1.768211e-04
125,1.766602e-04
126,1.764994e-04
127,1.763387e-04
128,1.761781e-04
129,1.760176e-04
130,1.758573e-04
131,1.756971e-04
132,1.755370e-04
133,1.753771e-04
134,1.752172e-04
135,1.750575e-04
136,1.748979e-04
137,1.747385e-04
138,1.745791e-04
139,1.744199e-04
140,1.742608e-04
141,1.741018e-04
142,1.739430e-04
143,1.737842e-04
144,1.736256e-04
145,1.734671e-04
146,1.733087e-04
147,1.731505e-04
148,1.729923e-04
149,1.728343e-04
150,1.726764e-04
151,1.725186e-04
152,1.723610e-04
153,1.722034e-04
154,1.720460e-04
155,1.718887e-04
156,1.717315e-04
157,1.715745e-04
158,1.714175e-04
159,1.712607e-04
160,1.711040e-04
161,1.709474e-04
162,1.707909e-04
163,1.706346e-04
164,1.704783e-04
165,1.703222e-04
166,1.701662e-04
167,1.700103e-04
168,1.698546e-04
169,1.696989e-04
170,1.695434e-04
171,1.693880e-04
172,1.692327e-04
173,1.690775e-04
174,1.689224e-04
175,1.687675e-04
176,1.686126e-04
177,1.684579e-04
178,1.683033e-04
179,1.681488e-04
180,1.679944e-04
181,1.678402e-04
182,1.676861e-04
183,1.675320e-04
184,1.673781e-04
185,1.672243e-04
186,1.670706e-04
187,1.669171e-04
188,1.667636e-04
189,1.666103e-04
190,1.664571e-04
191,1.663040e-04
192,1.661510e-04
193,1.659981e-04
194,1.658454e-04
195,1.656927e-04
196,1.655402e-04
197,1.653878e-04
198,1.652354e-04
199,1.650833e-04
200,1.649312e-04
201,1.647792e-04
202,1.646274e-04
203,1.644756e-04
204,1.643240e-04
205,1.641725e-04
206,1.640211e-04
207,1.638698e-04
208,1.637186e-04
209,1.635676e-04
210,1.634166e-04
211,1.632658e-04
212,1.631151e-04
213,1.629645e-04
214,1.628140e-04
215,1.626636e-04
216,1.625133e-04
217,1.623632e-04
218,1.622131e-04
219,1.620632e-04
220,1.619134e-04
221,1.617636e-04
222,1.616140e-04
223,1.614646e-04
224,1.613152e-04
225,1.611659e-04
226,1.610168e-04
227,1.608677e-04
228,1.607188e-04
229,1.605700e-04
230,1.604213e-04
231,1.602727e-04
232,1.601242e-04
233,1.599758e-04
234,1.598275e-04
235,1.596794e-04
236,1.595313e-04
237,1.593834e-04
238,1.592356e-04
239,1.590879e-04
240,1.589403e-04
241,1.587928e-04
242,1.586454e-04
243,1.584981e-04
244,1.583510e-04
245,1.582039e-04
246,1.580570e-04
247,1.579102e-04
248,1.577634e-04
249,1.576168e-04
250,1.574703e-04
251,1.573239e-04
252,1.571777e-04
253,1.570315e-04
254,1.568854e-04
255,1.567395e-04
256,1.565936e-04
257,1.564479e-04
258,1.563023e-04
259,1.561568e-04
260,1.560114e-04
261,1.558661e-04
262,1.557209e-04
263,1.555758e-04
264,1.554308e-04
265,1.552860e-04
266,1.551412e-04
267,1.549966e-04
268,1.548521e-04
269,1.547076e-04
270,1.545633e-04
271,1.544191e-04
272,1.542750e-04
273,1.541310e-04
274,1.539871e-04
275,1.538434e-04
276,1.536997e-04
277,1.535561e-04
278,1.534127e-04
279,1.532694e-04
280,1.531261e-04
281,1.529830e-04
282,1.528400e-04
283,1.526971e-04
284,1.525543e-04
285,1.524116e-04
286,1.522690e-04
287,1.521265e-04
288,1.519841e-04
289,1.518419e-04
290,1.516997e-04
291,1.515577e-04
292,1.514157e-04
293,1.512739e-04
294,1.511322e-04
295,1.509906e-04
296,1.508490e-04
297,1.507076e-04
298,1.505663e-04
299,1.504252e-04
300,1.502841e-04
301,1.501431e-04
302,1.500022e-04
303,1.498615e-04
304,1.497208e-04
305,1.495803e-04
306,1.494398e-04
307,1.492995e-04
308,1.491592e-04
309,1.490191e-04
310,1.488791e-04
311,1.487392e-04
312,1.485994e-04
313,1.484597e-04
314,1.483201e-04
315,1.481806e-04
316,1.480413e-04
317,1.479020e-04
318,1.477628e-04
319,1.476238e-04
320,1.474848e-04
321,1.473460e-04
322,1.472072e-04
323,1.470686e-04
324,1.469300e-04
325,1.467916e-04
326,1.466533e-04
327,1.465151e-04
328,1.463770e-04
329,1.462390e-04
330,1.461011e-04
331,1.459633e-04
332,1.458256e-04
333,1.456880e-04
334,1.455506e-04
335,1.454132e-04
336,1.452759e-04
337,1.451388e-04
338,1.450017e-04
339,1.448648e-04
340,1.447279e-04
341,1.445912e-04
342,1.444546e-04
343,1.443180e-04
344,1.441816e-04
345,1.440453e-04
346,1.439091e-04
347,1.437730e-04
348,1.436370e-04
349,1.435011e-04
350,1.433653e-04
351,1.432296e-04
352,1.430940e-04
353,1.429585e-04
354,1.428231e-04
355,1.426879e-04
356,1.425527e-04
357,1.424176e-04
358,1.422827e-04
359,1.421478e-04
360,1.420131e-04
361,1.418784e-04
362,1.417439e-04
363,1.416094e-04
364,1.414751e-04
365,1.413409e-04
366,1.412068e-04
367,1.410727e-04
368,1.409388e-04
369,1.408050e-04
370,1.406713e-04
371,1.405377e-04
372,1.404042e-04
373,1.402708e-04
374,1.401375e-04
375,1.400043e-04
376,1.398712e-04
377,1.397382e-04
378,1.396053e-04
379,1.394726e-04
380,1.393399e-04
381,1.392073e-04
382,1.390749e-04
383,1.389425e-04
384,1.388102e-04
385,1.386781e-04
386,1.385460e-04
387,1.384141e-04
388,1.382822e-04
389,1.381505e-04
390,1.380188e-04
391,1.378873e-04
392,1.377559e-04
393,1.376245e-04
394,1.374933e-04
395,1.373622e-04
396,1.372311e-04
397,1.371002e-04
398,1.369694e-04
399,1.368387e-04
400,1.367081e-04
401,1.365775e-04
402,1.364471e-04
403,1.363168e-04
404,1.361866e-04
405,1.360565e-04
406,1.359265e-04
407,1.357966e-04
408,1.356668e-04
409,1.355371e-04
410,1.354075e-04
411,1.352780e-04
412,1.351487e-04
413,1.350194e-04
414,1.348902e-04
415,1.347611e-04
416,1.346321e-04
417,1.345033e-04
418,1.343745e-04
419,1.342458e-04
420,1.341172e-04
421,1.339888e-04
422,1.338604e-04
423,1.337321e-04
424,1.336040e-04
425,1.334759e-04
426,1.333479e-04
427,1.332201e-04
428,1.330923e-04
429,1.329647e-04
430,1.328371e-04
431,1.327096e-04
432,1.325823e-04
433,1.324550e-04
434,1.323279e-04
435,1.322008e-04
436,1.320739e-04
437,1.319470e-04
438,1.318203e-04
439,1.316937e-04
440,1.315671e-04
441,1.314407e-04
442,1.313143e-04
443,1.311881e-04
444,1.310619e-04
445,1.309359e-04
446,1.308100e-04
447,1.306841e-04
448,1.305584e-04
449,1.304328e-04
450,1.303072e-04
451,1.301818e-04
452,1.300565e-04
453,1.299312e-04
454,1.298061e-04
455,1.296811e-04
456,1.295561e-04
457,1.294313e-04
458,1.293066e-04
459,1.291819e-04
460,1.290574e-04
461,1.289330e-04
462,1.288086e-04
463,1.286844e-04
464,1.285603e-04
465,1.284362e-04
466,1.283123e-04
467,1.281885e-04
468,1.280648e-04
469,1.279411e-04
470,1.278176e-04
471,1.276942e-04
472,1.275708e-04
473,1.274476e-04
474,1.273245e-04
475,1.272014e-04
476,1.270785e-04
477,1.269557e-04
478,1.268329e-04
479,1.267103e-04
480,1.265878e-04
481,1.264654e-04
482,1.263430e-04
483,1.262208e-04
484,1.260986e-04
485,1.259766e-04
486,1.258547e-04
487,1.257328e-04
488,1.256111e-04
489,1.254895e-04
490,1.253679e-04
491,1.252465e-04
492,1.251251e-04
493,1.250039e-04
494,1.248828e-04
495,1.247617e-04
496,1.246408e-04
497,1.245199e-04
498,1.243992e-04
499,1.242785e-04
500,1.241580e-04
501,1.240375e-04
502,1.239172e-04
503,1.237969e-04
504,1.236768e-04
505,1.235567e-04
506,1.234368e-04
507,1.233169e-04
508,1.231972e-04
509,1.230775e-04
510,1.229579e-04
511,1.228385e-04
512,1.227191e-04
513,1.225998e-04
514,1.224807e-04
515,1.223616e-04
516,1.222426e-04
517,1.221238e-04
518,1.220050e-04
519,1.218863e-04
520,1.217677e-04
521,1.216492e-04
522,1.215309e-04
523,1.214126e-04
524,1.212944e-04
525,1.211763e-04
526,1.210583e-04
527,1.209404e-04
528,1.208226e-04
529,1.207049e-04
530,1.205873e-04
531,1.204698e-04
532,1.203524e-04
533,1.202351e-04
534,1.201179e-04
535,1.200008e-04
536,1.198838e-04
537,1.197669e-04
538,1.196500e-04
539,1.195333e-04
540,1.194167e-04
541,1.193002e-04
542,1.191837e-04
543,1.190674e-04
544,1.189512e-04
545,1.188350e-04
546,1.187190e-04
547,1.186031e-04
548,1.184872e-04
549,1.183715e-04
550,1.182558e-04
551,1.181403e-04
552,1.180248e-04
553,1.179094e-04
554,1.177942e-04
555,1.176790e-04
556,1.175640e-04
557,1.174490e-04
558,1.173341e-04
559,1.172193e-04
560,1.171046e-04
561,1.169901e-04
562,1.168756e-04
563,1.167612e-04
564,1.166469e-04
565,1.165327e-04
566,1.164186e-04
567,1.163046e-04
568,1.161907e-04
569,1.160769e-04
570,1.159631e-04
571,1.158495e-04
572,1.157360e-04
573,1.156226e-04
574,1.155092e-04
575,1.153960e-04
576,1.152829e-04
577,1.151698e-04
578,1.150569e-04
579,1.149440e-04
580,1.148313e-04
581,1.147186e-04
582,1.146061e-04
583,1.144936e-04
584,1.143812e-04
585,1.142689e-04
586,1.141568e-04
587,1.140447e-04
588,1.139327e-04
589,1.138208e-04
590,1.137090e-04
591,1.135973e-04
592,1.134857e-04
593,1.133742e-04
594,1.132628e-04
595,1.131515e-04
596,1.130402e-04
597,1.129291e-04
598,1.128181e-04
599,1.127071e-04
600,1.125963e-04
601,1.124856e-04
602,1.123749e-04
603,1.122644e-04
604,1.121539e-04
605,1.120435e-04
606,1.119333e-04
607,1.118231e-04
608,1.117130e-04
609,1.116030e-04
610,1.114931e-04
611,1.113833e-04
612,1.112736e-04
613,1.111640e-04
614,1.110545e-04
615,1.109451e-04
616,1.108358e-04
617,1.107266e-04
618,1.106174e-04
619,1.105084e-04
620,1.103994e-04
621,1.102906e-04
622,1.101818e-04
623,1.100732e-04
624,1.099646e-04
625,1.098562e-04
626,1.097478e-04
627,1.096395e-04
628,1.095313e-04
629,1.094232e-04
630,1.093152e-04
631,1.092073e-04
632,1.090995e-04
633,1.089918e-04
634,1.088842e-04
635,1.087766e-04
636,1.086692e-04
637,1.085619e-04
638,1.084546e-04
639,1.083475e-04
640,1.082404e-04
641,1.081335e-04
642,1.080266e-04
643,1.079198e-04
644,1.078131e-04
645,1.077065e-04
646,1.076000e-04
647,1.074936e-04
648,1.073873e-04
649,1.072811e-04
650,1.071750e-04
651,1.070690e-04
652,1.069630e-04
653,1.068572e-04
654,1.067514e-04
655,1.066458e-04
656,1.065402e-04
657,1.064348e-04
658,1.063294e-04
659,1.062241e-04
660,1.061189e-04
661,1.060138e-04
662,1.059088e-04
663,1.058039e-04
664,1.056991e-04
665,1.055944e-04
666,1.054897e-04
667,1.053852e-04
668,1.052808e-04
669,1.051764e-04
670,1.050722e-04
671,1.049680e-04
672,1.048639e-04
673,1.047599e-04
674,1.046560e-04
675,1.045522e-04
676,1.044485e-04
677,1.043449e-04
678,1.042414e-04
679,1.041380e-04
680,1.040347e-04
681,1.039314e-04
682,1.038283e-04
683,1.037252e-04
684,1.036222e-04
685,1.035194e-04
686,1.034166e-04
687,1.033139e-04
688,1.032113e-04
689,1.031088e-04
690,1.030064e-04
691,1.029041e-04
692,1.028018e-04
693,1.026997e-04
694,1.025977e-04
695,1.024957e-04
696,1.023938e-04
697,1.022921e-04
698,1.021904e-04
699,1.020888e-04
700,1.019873e-04
701,1.018859e-04
702,1.017846e-04
703,1.016834e-04
704,1.015822e-04
705,1.014812e-04
706,1.013803e-04
707,1.012794e-04
708,1.011786e-04
709,1.010780e-04
710,1.009774e-04
711,1.008769e-04
712,1.007765e-04
713,1.006762e-04
714,1.005760e-04
715,1.004759e-04
716,1.003758e-04
717,1.002759e-04
718,1.001760e-04
719,1.000763e-04
720,9.997658e-05
721,9.987700e-05
722,9.977751e-05
723,9.967811e-05
724,9.957880e-05
725,9.947958e-05
726,9.938045e-05
727,9.928141e-05
728,9.918247e-05
729,9.908361e-05
730,9.898484e-05
731,9.888617e-05
732,9.878758e-05
733,9.868908e-05
734,9.859068e-05
735,9.849236e-05
736,9.839414e-05
737,9.829600e-05
738,9.819796e-05
739,9.810000e-05
740,9.800214e-05
741,9.790436e-05
742,9.780667e-05
743,9.770908e-05
744,9.761157e-05
745,9.751416e-05
746,9.741683e-05
747,9.731959e-05
748,9.722244e-05
749,9.712539e-05
750,9.702842e-05
751,9.693154e-05
752,9.683475e-05
753,9.673805e-05
754,9.664144e-05
755,9.654492e-05
756,9.644848e-05
757,9.635214e-05
758,9.625589e-05
759,9.615972e-05
760,9.606365e-05
761,9.596766e-05
762,9.587176e-05
763,9.577595e-05
764,9.568023e-05
765,9.558460e-05
766,9.548906e-05
767,9.539361e-05
768,9.529824e-05
769,9.520297e-05
770,9.510778e-05
771,9.501268e-05
772,9.491767e-05
773,9.482275e-05
774,9.472791e-05
775,9.463317e-05
776,9.453851e-05
777,9.444395e-05
778,9.434947e-05
779,9.425507e-05
780,9.416077e-05
781,9.406656e-05
782,9.397243e-05
783,9.387839e-05
784,9.378444e-05
785,9.369058e-05
786,9.359680e-05
787,9.350312e-05
788,9.340952e-05
789,9.331601e-05
790,9.322258e-05
791,9.312925e-05
792,9.303600e-05
793,9.294284e-05
794,9.284977e-05
795,9.275678e-05
796,9.266388e-05
797,9.257107e-05
798,9.247835e-05
799,9.238571e-05
800,9.229317e-05
801,9.220070e-05
802,9.210833e-05
803,9.201604e-05
804,9.192384e-05
805,9.183173e-05
806,9.173971e-05
807,9.164777e-05
808,9.155592e-05
809,9.146415e-05
810,9.137248e-05
811,9.128089e-05
812,9.118938e-05
813,9.109796e-05
814,9.100663e-05
815,9.091539e-05
816,9.082423e-05
817,9.073316e-05
818,9.064218e-05
819,9.055128e-05
820,9.046047e-05
821,9.036974e-05
822,9.027911e-05
823,9.018855e-05
824,9.009809e-05
825,9.000771e-05
826,8.991741e-05
827,8.982720e-05
828,8.973708e-05
829,8.964705e-05
830,8.955710e-05
831,8.946723e-05
832,8.937746e-05
833,8.928776e-05
834,8.919816e-05
835,8.910864e-05
836,8.901920e-05
837,8.892985e-05
838,8.884059e-05
839,8.875141e-05
840,8.866232e-05
841,8.857331e-05
842,8.848439e-05
843,8.839555e-05
844,8.830680e-05
845,8.821813e-05
846,8.812955e-05
847,8.804105e-05
848,8.795264e-05
849,8.786432e-05
850,8.777608e-05
851,8.768792e-05
852,8.759985e-05
853,8.751186e-05
854,8.742396e-05
855,8.733614e-05
856,8.724841e-05
857,8.716076e-05
858,8.707320e-05
859,8.698572e-05
860,8.689833e-05
861,8.681102e-05
862,8.672380e-05
863,8.663666e-05
864,8.654960e-05
865,8.646263e-05
866,8.637574e-05
867,8.628894e-05
868,8.620222e-05
869,8.611558e-05
870,8.602903e-05
871,8.594256e-05
872,8.585618e-05
873,8.576988e-05
874,8.568366e-05
875,8.559753e-05
876,8.551148e-05
877,8.542552e-05
878,8.533964e-05
879,8.525384e-05
880,8.516813e-05
881,8.508250e-05
882,8.499695e-05
883,8.491149e-05
884,8.482611e-05
885,8.474081e-05
886,8.465560e-05
887,8.457047e-05
888,8.448542e-05
889,8.440045e-05
890,8.431557e-05
891,8.423077e-05
892,8.414606e-05
893,8.406143e-05
894,8.397688e-05
895,8.389241e-05
896,8.380803e-05
897,8.372373e-05
898,8.363951e-05
899,8.355537e-05
900,8.347132e-05
901,8.338735e-05
902,8.330346e-05
903,8.321965e-05
904,8.313593e-05
905,8.305228e-05
906,8.296872e-05
907,8.288525e-05
908,8.280185e-05
909,8.271854e-05
910,8.263531e-05
911,8.255216e-05
912,8.246909e-05
913,8.238611e-05
914,8.230320e-05
915,8.222038e-05
916,8.213764e-05
917,8.205498e-05
918,8.197240e-05
919,8.188991e-05
920,8.180749e-05
921,8.172516e-05
922,8.164291e-05
923,8.156074e-05
924,8.147865e-05
925,8.139665e-05
926,8.131472e-05
927,8.123288e-05
928,8.115111e-05
929,8.106943e-05
930,8.098783e-05
931,8.090631e-05
932,8.082487e-05
933,8.074351e-05
934,8.066223e-05
935,8.058103e-05
936,8.049992e-05
937,8.041888e-05
938,8.033792e-05
939,8.025705e-05
940,8.017625e-05
941,8.009554e-05
942,8.001491e-05
943,7.993435e-05
944,7.985388e-05
945,7.977349e-05
946,7.969317e-05
947,7.961294e-05
948,7.953279e-05
949,7.945272e-05
950,7.937272e-05
951,7.929281e-05
952,7.921298e-05
953,7.913322e-05
954,7.905355e-05
955,7.897396e-05
956,7.889444e-05
957,7.881501e-05
958,7.873565e-05
959,7.865638e-05
960,7.857718e-05
961,7.849806e-05
962,7.841902e-05
963,7.834007e-05
964,7.826119e-05
965,7.818239e-05
966,7.810367e-05
967,7.802502e-05
968,7.794646e-05
969,7.786798e-05
970,7.778957e-05
971,7.771125e-05
972,7.763300e-05
973,7.755483e-05
974,7.747674e-05
975,7.739873e-05
976,7.732079e-05
977,7.724294e-05
978,7.716516e-05
979,7.708747e-05
980,7.700985e-05
981,7.693231e-05
982,7.685484e-05
983,7.677746e-05
984,7.670015e-05
985,7.662292e-05
986,7.654577e-05
987,7.646870e-05
988,7.639171e-05
989,7.631479e-05
990,7.623795e-05
991,7.616119e-05
992,7.608450e-05
993,7.600790e-05
994,7.593137e-05
995,7.585492e-05
996,7.577855e-05
997,7.570225e-05
998,7.562603e-05
999,7.554989e-05
1000,7.547383e-05
1001,7.539784e-05
1002,7.532193e-05
1003,7.524610e-05
1004,7.517034e-05
1005,7.509466e-05
1006,7.501906e-05
1007,7.494354e-05
1008,7.486809e-05
1009,7.479272e-05
1010,7.471742e-05
1011,7.464221e-05
1012,7.456706e-05
1013,7.449200e-05
1014,7.441701e-05
1015,7.434210e-05
1016,7.426726e-05
1017,7.419250e-05
1018,7.411782e-05
1019,7.404322e-05
1020,7.396868e-05
1021,7.389423e-05
1022,7.381985e-05
1023,7.374555e-05
1024,7.367132e-05
1025,7.359717e-05
1026,7.352310e-05
1027,7.344910e-05
1028,7.337518e-05
1029,7.330133e-05
1030,7.322756e-05
1031,7.315386e-05
1032,7.308024e-05
1033,7.300669e-05
1034,7.293322e-05
1035,7.285983e-05
1036,7.278651e-05
1037,7.271326e-05
1038,7.264009e-05
1039,7.256700e-05
1040,7.249398e-05
1041,7.242104e-05
1042,7.234817e-05
1043,7.227537e-05
1044,7.220265e-05
1045,7.213001e-05
1046,7.205744e-05
1047,7.198494e-05
1048,7.191252e-05
1049,7.184018e-05
1050,7.176790e-05
1051,7.169571e-05
1052,7.162358e-05
1053,7.155153e-05
1054,7.147956e-05
1055,7.140766e-05
1056,7.133583e-05
1057,7.126408e-05
1058,7.119240e-05
1059,7.112080e-05
1060,7.104927e-05
1061,7.097781e-05
1062,7.090643e-05
1063,7.083512e-05
1064,7.076389e-05
1065,7.069273e-05
1066,7.062164e-05
1067,7.055062e-05
1068,7.047968e-05
1069,7.040881e-05
1070,7.033802e-05
1071,7.026730e-05
1072,7.019665e-05
1073,7.012608e-05
1074,7.005558e-05
1075,6.998515e-05
1076,6.991479e-05
1077,6.984451e-05
1078,6.977430e-05
1079,6.970417e-05
1080,6.963410e-05
1081,6.956411e-05
1082,6.949419e-05
1083,6.942435e-05
1084,6.935457e-05
1085,6.928487e-05
1086,6.921524e-05
1087,6.914569e-05
1088,6.907620e-05
1089,6.900679e-05
1090,6.893745e-05
1091,6.886819e-05
1092,6.879899e-05
1093,6.872987e-05
1094,6.866082e-05
1095,6.859184e-05
1096,6.852293e-05
1097,6.845410e-05
1098,6.838534e-05
1099,6.831664e-05
1100,6.824802e-05
1101,6.817948e-05
1102,6.811100e-05
1103,6.804259e-05
1104,6.797426e-05
1105,6.790600e-05
1106,6.783780e-05
1107,6.776968e-05
1108,6.770164e-05
1109,6.763366e-05
1110,6.756575e-05
1111,6.749792e-05
1112,6.743015e-05
1113,6.736246e-05
1114,6.729483e-05
1115,6.722728e-05
1116,6.715980e-05
1117,6.709239e-05
1118,6.702505e-05
1119,6.695778e-05
1120,6.689058e-05
1121,6.682345e-05
