x,u
0.000000e+00,1.766046e+00
2.000000e-02,1.766046e+00
4.000000e-02,1.762214e+00
6.000000e-02,1.754284e+00
8.000000e-02,1.741704e+00
1.000000e-01,1.723607e+00
1.200000e-01,1.698747e+00
1.400000e-01,1.665431e+00
1.600000e-01,1.621407e+00
1.800000e-01,1.563725e+00
2.000000e-01,1.488541e+00
2.200000e-01,1.424541e+00
2.400000e-01,1.369747e+00
2.600000e-01,1.322616e+00
2.800000e-01,1.281918e+00
3.000000e-01,1.246664e+00
3.200000e-01,1.216043e+00
3.400000e-01,1.189388e+00
3.600000e-01,1.166144e+00
3.800000e-01,1.145841e+00
4.000000e-01,1.128084e+00
4.200000e-01,1.112537e+00
4.400000e-01,1.098911e+00
4.600000e-01,1.086959e+00
4.800000e-01,1.076469e+00
5.000000e-01,1.067254e+00
5.200000e-01,1.059156e+00
5.400000e-01,1.052035e+00
5.600000e-01,1.045769e+00
5.800000e-01,1.040254e+00
6.000000e-01,1.035397e+00
6.200000e-01,1.031116e+00
6.400000e-01,1.027341e+00
6.600000e-01,1.024009e+00
6.800000e-01,1.021066e+00
7.000000e-01,1.018464e+00
7.200000e-01,1.016160e+00
7.400000e-01,1.014116e+00
7.600000e-01,1.012299e+00
7.800000e-01,1.010680e+00
8.000000e-01,1.009232e+00
8.200000e-01,1.007933e+00
8.400000e-01,1.006761e+00
8.600000e-01,1.005697e+00
8.800000e-01,1.004725e+00
9.000000e-01,1.003827e+00
9.200000e-01,1.002991e+00
9.400000e-01,1.002203e+00
9.600000e-01,1.001450e+00
9.800000e-01,1.000719e+00
1.000000e+00,1.000000e+00
