x,u_explicit,u_implicit,u_newton
0.000000,1.778028,1.409004,1.773349
0.010000,1.777286,1.405873,1.773349
0.020000,1.775789,1.402842,1.772515
0.030000,1.773511,1.399818,1.770833
0.040000,1.770413,1.396699,1.768272
0.050000,1.766440,1.393374,1.764789
0.060000,1.761525,1.389719,1.760323
0.070000,1.755581,1.385597,1.754797
0.080000,1.748508,1.380854,1.748114
0.090000,1.740182,1.375320,1.740158
0.100000,1.730463,1.368802,1.730794
0.110000,1.719183,1.361088,1.719859
0.120000,1.706152,1.351938,1.707168
0.130000,1.691148,1.341086,1.692503
0.140000,1.673919,1.328235,1.675616
0.150000,1.654177,1.313052,1.656223
0.160000,1.631592,1.295169,1.633998
0.170000,1.605790,1.274173,1.608570
0.180000,1.576345,1.249601,1.579515
0.190000,1.542770,1.220936,1.546353
0.200000,1.504515,1.187593,1.508533
0.210000,1.469208,1.158219,1.473678
0.220000,1.436568,1.132525,1.441502
0.230000,1.406347,1.110219,1.411757
0.240000,1.378326,1.091007,1.384223
0.250000,1.352314,1.074592,1.358705
0.260000,1.328140,1.060683,1.335030
0.270000,1.305651,1.048996,1.313043
0.280000,1.284712,1.039260,1.292606
0.290000,1.265200,1.031218,1.273595
0.300000,1.247006,1.024632,1.255896
0.310000,1.230031,1.019285,1.239409
0.320000,1.214184,1.014981,1.224040
0.330000,1.199385,1.011546,1.209706
0.340000,1.185560,1.008829,1.196331
0.350000,1.172640,1.006697,1.183845
0.360000,1.160565,1.005040,1.172183
0.370000,1.149278,1.003762,1.161286
0.380000,1.138726,1.002786,1.151102
0.390000,1.128861,1.002046,1.141579
0.400000,1.119640,1.001491,1.132674
0.410000,1.111022,1.001077,1.124342
0.420000,1.102968,1.000772,1.116545
0.430000,1.095443,1.000549,1.109247
0.440000,1.088414,1.000387,1.102415
0.450000,1.081852,1.000271,1.096017
0.460000,1.075727,1.000188,1.090025
0.470000,1.070013,1.000129,1.084411
0.480000,1.064684,1.000088,1.079152
0.490000,1.059718,1.000060,1.074223
0.500000,1.055092,1.000040,1.069604
0.510000,1.050785,1.000027,1.065274
0.520000,1.046778,1.000018,1.061215
0.530000,1.043053,1.000012,1.057409
0.540000,1.039592,1.000008,1.053840
0.550000,1.036378,1.000006,1.050492
0.560000,1.033398,1.000004,1.047352
0.570000,1.030634,1.000003,1.044406
0.580000,1.028075,1.000002,1.041642
0.590000,1.025706,1.000002,1.039048
0.600000,1.023516,1.000001,1.036613
0.610000,1.021493,1.000001,1.034328
0.620000,1.019626,1.000001,1.032182
0.630000,1.017904,1.000001,1.030168
0.640000,1.016317,1.000001,1.028276
0.650000,1.014857,1.000001,1.026498
0.660000,1.013514,1.000001,1.024828
0.670000,1.012281,1.000001,1.023259
0.680000,1.011149,1.000001,1.021783
0.690000,1.010111,1.000001,1.020396
0.700000,1.009160,1.000001,1.019091
0.710000,1.008290,1.000001,1.017863
0.720000,1.007495,1.000001,1.016707
0.730000,1.006770,1.000001,1.015619
0.740000,1.006107,1.000001,1.014593
0.750000,1.005504,1.000001,1.013626
0.760000,1.004954,1.000001,1.012714
0.770000,1.004454,1.000001,1.011853
0.780000,1.004000,1.000001,1.011040
0.790000,1.003588,1.000001,1.010271
0.800000,1.003213,1.000001,1.009543
0.810000,1.002874,1.000001,1.008854
0.820000,1.002567,1.000001,1.008200
0.830000,1.002288,1.000001,1.007579
0.840000,1.002036,1.000001,1.006988
0.850000,1.001808,1.000001,1.006425
0.860000,1.001602,1.000001,1.005888
0.870000,1.001414,1.000001,1.005375
0.880000,1.001245,1.000001,1.004883
0.890000,1.001091,1.000001,1.004410
0.900000,1.000951,1.000001,1.003955
0.910000,1.000823,1.000001,1.003516
0.920000,1.000706,1.000001,1.003091
0.930000,1.000598,1.000001,1.002679
0.940000,1.000498,1.000001,1.002277
0.950000,1.000405,1.000001,1.001884
0.960000,1.000318,1.000001,1.001498
0.970000,1.000234,1.000000,1.001118
0.980000,1.000154,1.000000,1.000743
0.990000,1.000077,1.000000,1.000371
1.000000,1.000000,1.000000,1.000000
